Flex,Head_Size,String_Pattern,Swingweight,Length,Racket_Name,Swing_speed,Balance,Power_Level
62,95 sq. in MP,"
					18 Mains / 20 Crosses, Mains Skip: 9T, 8H, 10H, Two Piece, No Shared Holes
					",318,27 inches,Graphene Touch Prestige MP,"Fast, Long Swing",11 Pts Head Light,Low
68,107 sq. in OS,"
					16 Mains / 19 Crosses, Mains Skip: 7T,9T,7H,9H, One piece, No Shared Holes
					",310,27.5 inches,Ti.S5 CZ Prestrungs,"Medium, Moderate Swing",7 Pts Head Heavy,High
76,115 sq. in OS,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 7H, 9H, One Piece, No Shared Holes
					",303,27.5 inches,Ti.S6 Prestrung Racquets,"Medium, Moderate Swing",13 Pts Head Heavy,High
74,115 sq. in OS,"
					14 Mains / 17 Crosses, Mains Skip: 7T, One Piece, No Shared Holes
					",315,27.5 inches,i.S12 Prestrung,"Slow, Compact Swing",9 Pts Head Heavy,High
70,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",318,27 inches,Graphene Extreme MP Prestrung,"Fast, Long Swing",8 Pts Head Light,Medium
66,112 sq. in OS,"
					16 Mains / 19 Crosses, Mains Skip: 8T,8H, Two Piece, No Shared Holes
					",303,27 inches,Liquidmetal 8 Prestrungs,"Medium, Moderate Swing",2 Pts Head Heavy,High
61,100 sq. in MP,"
					16 Mains / 16 Crosses or 16 Mains / 19 Crosses, Mains Skip: 8T,8H, Two Piece, No Shared Holes
					",306,26.8 inches,Graphene XT Instinct Rev Pro ASP,"Medium, Moderate Swing",2 Pts Head Heavy,Medium
64,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",325,27 inches,Graphene Touch Extreme MP,"Fast, Long Swing",3 pts Head Light,Low
61,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",303,27 inches,Graphene Touch Instinct S,"Fast, Long Swing",8 Pts Head Light,Medium
58,107 sq. in OS,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",305,27.2 inches,Graphene Touch Instinct Lite,"Medium, Moderate Swing",2 Pts Head Light,Medium
65,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",305,27 inches,Graphene Touch Speed S,"Medium, Moderate Swing",8 Pts Head Light,Medium
64,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",303,27 inches,Graphene Touch Instinct Adaptive,"Fast, Long Swing",4 Pts Head Light,Medium
67,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",318,27 inches,Graphene Touch Instinct MP,"Fast, Long Swing",8 Pts Head Light,Low
57,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",316,27 inches,Graphene Touch Speed Adaptive,"Fast, Long Swing",6 Pts Head Light,Medium
58,115 sq. in OS,"
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, 10T, Two Piece, No Shared Holes
					",315,27.4 inches,Graphene Touch Speed PWR,"Slow, Compact Swing",Even Balance,High
62,99 sq. in MP,"
					18 Mains / 19 Crosses, Mains Skip: 8T, 10T, 8H, 10H, Two Piece, No Shared Holes
					",328,27 inches,Graphene Touch Prestige Tour,"Fast, Long Swing",8 Pts Head Light,Low
61,100 sq. in MP,"
					18 Mains / 20 Crosses, Mains Skip: None, Two Piece, Shared Holes: 8T, 8H, 9T, 9H
					",306,27 inches,Graphene Touch Speed Pro,"Fast, Long Swing",8 Pts Head Light,Low
56,107 sq. in OS,"
					18 Mains / 19 Crosses, Mains Skip: 8T, 10T, 9H, Two Piece, No Shared Holes
					",319,27 inches,MicroGel Radical OS Prestrungs,"Fast, Long Swing",3 Pts Head Light,Low
57,93 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",319,27 inches,Graphene Touch Prestige Mid,"Fast, Long Swing",11 Pts Head Light,Low
64,105 sq. in OS,"
					16 Mains / 18 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",313,27.2 inches,MXG 5,"Medium, Moderate Swing",3 Pts Head Light,Medium
70,100 sq. in MP,"
					16 Mains / 18 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",321,27 inches,MXG 3,"Fast, Long Swing",5 Pts Head Light,Low
61,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: None, Two Piece, Shared Holes: 7T, 7H, 8T, 8H
					",310,27 inches,Graphene Touch Speed MP,"Fast, Long Swing",8 Pts Head Light,Low
68,115 sq. in OS,"
					16 Mains / 18 Crosses, Mains Skip: 8T, 6H, 8H, 10H, 11H, Two Piece, No Shared Holes
					",326,27.6 inches,MXG 7,"Slow, Compact Swing",3 Pts Head Heavy,High
