Flex,Head_Size,String_Pattern,Swingweight,Length,Racket_Name,Swing_speed,Balance,Power_Level
63,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",306,27 inches,EZONE DR Lite,"Fast, Long Swing",5 Pts Head Light,Medium
70,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",336,27.5 inches,Ezone Dr 100 Plus,"Fast, Long Swing",6 Pts Head Light,Medium
65,100 sq. in MP,"
					16 Mains / 20 Crosses, Mains Skip: None, Two Piece, Shared Holes: 7H, 8H, 8T
					",314,27 inches,VCore Duel G 100 Lite,"Medium, Moderate Swing",3 Pts Head Light,Medium
66,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",321,27 inches,EZONE DR 100 Black and Blue,"Fast, Long Swing",7 Pts Head Light,Low
63,98 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",335,27.5 inches,Ezone Dr 98 Plus,"Fast, Long Swing",9 Pts Head Light,Medium
59,98 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",317,27 inches,EZONE DR 98 Black and Blue,"Fast, Long Swing",9 Pts Head Light,Low
66,108 sq. in OS,"
					16 Mains / 18 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",308,27.25 inches,Ezone 108,"Medium, Moderate Swing",4 Pts Head Light,High
61,100 sq. in MP,"
					16 Mains / 18 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",299,27 inches,Ezone Lite Smash Pink,"Medium, Moderate Swing",4 Pts Head Light,Medium
66,107 sq. in OS,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",311,27 inches,Ezone Rally,"Medium, Moderate Swing",3 Pts Head Light,Medium
66,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",305,27 inches,Ezone 100 Lite,"Fast, Long Swing",6 Pts Head Light,Medium
61,100 sq. in MP,"
					16 Mains / 18 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",299,27 inches,Ezone Lite Lime Green,"Medium, Moderate Swing",4 Pts Head Light,Medium
61,98 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",309,27 inches,Ezone 98 Lite,"Fast, Long Swing",4 Pts Head Light,Medium
67,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",322,27 inches,Ezone 100 Lime Green,"Fast, Long Swing",7 Pts Head Light,Low
67,102 sq. in MP,"
					16 Mains / 18 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",306,27 inches,Ezone Feel,"Medium, Moderate Swing",2 Pts Head Heavy,Medium
67,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",322,27 inches,Ezone 100 Bright Blue,"Fast, Long Swing",7 Pts Head Light,Low
61,98 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",318,27 inches,Ezone 98 Lime Green,"Fast, Long Swing",9 Pts Head Light,Low
61,98 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",318,27 inches,Ezone 98 Bright Blue,"Fast, Long Swing",9 Pts Head Light,Low
64,98 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",336,27.5 inches,EZone 98 Plus Blue,"Medium, Moderate Swing",5 Pts Head Light,Medium
66,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",320,27 inches,VCore Pro 100,"Fast, Long Swing",7 Pts Head Light,Low
66,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",312,27 inches,VCore Pro 100 Lite,"Medium, Moderate Swing",2 Pts Head Light,Medium
70,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",337,27.5 inches,EZone 100 Plus Blue,"Medium, Moderate Swing",3 Pts Head Light,Medium
66,97 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",317,27 inches,VCore Pro 97 290g Lite,"Medium, Moderate Swing",5 Pts Head Light,Low
64,97 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",317,27 inches,VCore Pro 97 310g,"Fast, Long Swing",10 Pts Head Light,Low
